"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.208685940E-1,-1.828086376E-2,-2.555769682E-1,3.912763596E-1,4.677082063E-1
3.258844800E-1,-3.724274039E-2,-2.816445827E-1,4.728727341E-1,5.516514437E-1
3.309002090E-1,7.660239935E-3,-3.462641239E-1,5.799055099E-1,6.754612670E-1
3.359160940E-1,1.162886620E-2,-3.619976044E-1,6.579275131E-1,7.510300318E-1
3.409319270E-1,-3.178766370E-2,-3.933597803E-1,6.980733871E-1,8.019032524E-1
3.459476570E-1,-3.926783800E-3,-4.476521015E-1,7.317266464E-1,8.578063352E-1
3.509635420E-1,4.618644714E-3,-4.329363108E-1,7.567682266E-1,8.718677250E-1
3.559793750E-1,-1.998955011E-2,-5.458850861E-1,8.111228943E-1,9.779112735E-1
3.609951050E-1,2.885422111E-2,-5.723726749E-1,7.977476120E-1,9.822648816E-1
3.660109900E-1,2.937245369E-2,-5.371848345E-1,8.049592972E-1,9.681889059E-1
3.710268230E-1,-3.641641140E-2,-5.192140341E-1,7.618169785E-1,9.226453690E-1
3.760425520E-1,-1.606944203E-2,-5.748109818E-1,7.210502625E-1,9.222686012E-1
3.810584380E-1,3.698012233E-2,-6.445730925E-1,7.371416092E-1,9.799080329E-1
3.860741670E-1,-5.375593901E-3,-7.096414566E-1,8.165607452E-1,1.081846267E0
3.910900520E-1,-1.429739594E-2,-7.375775576E-1,9.422187805E-1,1.196662567E0
3.961058860E-1,2.814739943E-3,-7.711434364E-1,9.979190826E-1,1.261155271E0
4.011216150E-1,1.951438189E-2,-7.696719170E-1,9.492340088E-1,1.222219651E0
4.061375000E-1,-4.923808575E-2,-7.849973440E-1,8.258857727E-1,1.140496615E0
4.111533340E-1,-3.426578641E-2,-7.618114948E-1,6.547574997E-1,1.005106104E0
4.161690630E-1,6.292819977E-3,-7.214143276E-1,5.002412796E-1,8.779063558E-1
4.211849480E-1,-3.386825323E-3,-6.916925907E-1,4.092979431E-1,8.037256478E-1
4.262006770E-1,3.682285547E-3,-6.314587593E-1,2.911338806E-1,6.953507463E-1
4.312165630E-1,1.764647663E-2,-5.615210533E-1,1.647901535E-1,5.854682623E-1
4.362323960E-1,1.470701396E-2,-4.975697994E-1,-1.249217987E-2,4.979438283E-1
4.412481250E-1,-1.625758410E-2,-4.316773415E-1,-2.119779587E-1,4.811904936E-1
4.462640110E-1,2.172222733E-2,-3.846073151E-1,-3.745059967E-1,5.372610013E-1
4.512797400E-1,-4.738375545E-3,-3.351225853E-1,-4.815034866E-1,5.866644757E-1
4.562956250E-1,-1.184733212E-2,-3.682141304E-1,-4.414262772E-1,5.749601406E-1
4.613114590E-1,4.287470877E-2,-3.409857750E-1,-3.837413788E-1,5.151378313E-1
4.663271880E-1,9.221255779E-3,-3.226654530E-1,-3.015851974E-1,4.417597281E-1
4.713430730E-1,-9.605392814E-3,-3.035097122E-1,-3.065481186E-1,4.314883057E-1
4.763589070E-1,4.966261983E-2,-2.664198875E-1,-3.955793381E-1,4.795090666E-1
4.813746360E-1,3.747268021E-2,-2.111358643E-1,-5.348691940E-1,5.762530778E-1
4.863905210E-1,6.598427892E-3,-1.945366859E-1,-6.529808044E-1,6.813750747E-1
4.914062500E-1,-5.009084940E-3,-1.711902618E-1,-6.626071930E-1,6.843825603E-1
4.964221360E-1,2.850565314E-2,-1.484117508E-1,-6.146306992E-1,6.329372136E-1
5.014379690E-1,6.670811772E-2,-1.187629700E-1,-5.785808563E-1,5.943992121E-1
5.064536980E-1,2.856357396E-2,-7.748842239E-2,-6.065831184E-1,6.121792327E-1
5.114695840E-1,7.511332631E-3,-7.435131073E-2,-6.388821602E-1,6.432378659E-1
5.164853130E-1,6.506080925E-2,-5.434703827E-2,-7.135057449E-1,7.185241524E-1
5.215011980E-1,6.283378601E-2,-1.505231857E-2,-7.354793549E-1,7.383119519E-1
5.265170320E-1,-1.533907652E-2,-1.845884323E-2,-7.432365417E-1,7.436239461E-1
5.315327610E-1,-2.390766144E-2,-1.205158234E-2,-6.753454208E-1,6.758759164E-1
5.365486460E-1,7.208581269E-2,3.238248825E-2,-6.605496407E-1,6.652599625E-1
5.415644800E-1,6.026573479E-2,6.719970703E-2,-6.511011124E-1,6.573282422E-1
