"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.089001150E-1,7.739782333E-3,8.799750805E-1,-1.849136353E-1,8.992269452E-1
1.140154280E-1,-6.658986211E-2,7.816390991E-1,-2.159299850E-1,8.136458993E-1
1.191307400E-1,-5.084487796E-2,7.166087627E-1,-1.750812531E-1,7.394367895E-1
1.242460530E-1,6.904122233E-2,7.767839432E-1,-9.959125519E-2,7.861796251E-1
1.293613650E-1,-8.844792843E-2,7.276041508E-1,-1.372394562E-1,7.456979983E-1
1.344766780E-1,-9.057128429E-2,6.396036148E-1,-6.789779663E-2,6.495429565E-1
1.395919900E-1,8.179508150E-2,5.991020203E-1,-9.547042847E-2,6.121505279E-1
1.447073030E-1,1.946794987E-2,5.786364079E-1,-1.219720840E-1,5.916724456E-1
1.498226150E-1,-1.253289282E-1,5.704135895E-1,-1.221199036E-1,5.966508813E-1
1.549379280E-1,-2.552288771E-2,5.533707142E-1,-6.444072723E-2,5.576945153E-1
1.600532400E-1,1.637611985E-1,7.023568153E-1,-1.328067780E-1,7.333215301E-1
1.651685530E-1,-1.252673864E-1,6.542744637E-1,-4.223690033E-1,7.887728233E-1
1.702838650E-1,-1.202941537E-1,5.611288548E-1,-5.653362274E-1,8.055689450E-1
1.753991780E-1,7.484208047E-2,6.167747974E-1,-6.291599274E-1,8.842254814E-1
1.805144900E-1,9.689199924E-2,6.938772202E-1,-5.675601959E-1,9.016530553E-1
1.856298030E-1,-1.091563702E-1,6.681733131E-1,-4.911956787E-1,8.364471796E-1
1.907451150E-1,-3.277701139E-2,6.141817570E-1,-3.400506973E-1,7.028001422E-1
1.958604280E-1,1.205716729E-1,5.816295147E-1,-2.927799225E-1,6.622314578E-1
2.009757400E-1,-4.709511995E-3,5.398845673E-1,-3.277549744E-1,6.316018118E-1
2.060910530E-1,-5.451524258E-2,5.355572701E-1,-3.800182343E-1,6.589441247E-1
2.112063650E-1,-2.773314714E-3,5.584657192E-1,-3.955097198E-1,6.843387972E-1
2.163216780E-1,3.118169308E-2,5.543687344E-1,-3.868160248E-1,6.767005458E-1
2.214369900E-1,-2.430301905E-2,5.050718784E-1,-3.662443161E-1,6.243581810E-1
2.265523030E-1,-3.469049931E-3,4.770810604E-1,-3.363819122E-1,5.837560821E-1
2.316676150E-1,2.141439915E-2,5.025043488E-1,-3.278598785E-1,6.003842911E-1
2.367829280E-1,-2.906239033E-2,5.006442070E-1,-3.261346817E-1,5.982082206E-1
2.418982400E-1,-2.911242843E-2,4.956898689E-1,-3.497323990E-1,6.073456434E-1
2.470135530E-1,2.689871192E-2,4.876637459E-1,-3.466348648E-1,5.989116790E-1
2.521288650E-1,-4.901975393E-3,4.716925621E-1,-3.221693039E-1,5.712363459E-1
2.572441780E-1,-1.946529746E-2,4.595859051E-1,-2.861566544E-1,5.417413892E-1
2.623594900E-1,1.996088028E-2,4.440634251E-1,-2.482423782E-1,5.091316535E-1
2.674748030E-1,2.348101139E-2,4.367835522E-1,-2.225456238E-1,4.907726398E-1
2.725901150E-1,-5.830079317E-3,4.376890659E-1,-2.158184052E-1,4.880402568E-1
2.776147510E-1,1.032716036E-2,4.238290787E-1,-2.134265900E-1,4.746458127E-1
