"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.052866820E-1,1.798400879E-1,1.032776833E-1,-8.049953729E-2,2.224610361E-1
4.103028280E-1,1.293954849E-1,6.399917603E-2,-7.333288342E-2,1.619160210E-1
4.153189210E-1,9.133911133E-2,2.736043930E-2,-1.681537554E-2,9.682036847E-2
4.203350150E-1,3.002738953E-2,5.111217499E-3,1.059352607E-2,3.224889859E-2
4.253511610E-1,1.445007324E-2,-4.273915291E-2,1.853964105E-2,4.877661426E-2
4.303672550E-1,1.095962524E-2,-5.907249451E-2,-9.088043123E-3,6.076401501E-2
4.353834010E-1,5.226135254E-3,-4.660511017E-2,-7.190476358E-2,8.584662957E-2
4.403994940E-1,-9.786605835E-3,-1.741623878E-2,-1.265549064E-1,1.281220018E-1
4.454156400E-1,-5.059242249E-2,5.656099319E-2,-1.447069943E-1,1.633978377E-1
4.504317340E-1,-6.962394714E-2,1.013269424E-1,-1.028266996E-1,1.602746812E-1
4.554478280E-1,-1.145429611E-1,1.170270443E-1,-4.461264610E-2,1.697224417E-1
4.604639740E-1,-1.520261765E-1,1.250400543E-1,2.749424055E-2,1.987533818E-1
4.654800670E-1,-1.608266830E-1,1.160664558E-1,1.104428768E-1,2.270116147E-1
4.704962130E-1,-1.650161743E-1,5.220842361E-2,1.872313023E-1,2.549737591E-1
4.755123070E-1,-6.979751587E-2,-8.781433105E-3,2.388716936E-1,2.490150453E-1
4.805284530E-1,3.863906860E-2,-4.058551788E-2,2.374985516E-1,2.440199252E-1
4.855445460E-1,1.768579483E-1,-9.771537781E-2,1.978817135E-1,2.828147830E-1
4.905606400E-1,2.712182999E-1,-1.323401928E-1,1.539102197E-1,3.387648868E-1
4.955767860E-1,3.411922455E-1,-1.635427475E-1,8.694077283E-2,3.882229728E-1
5.005928800E-1,3.941135406E-1,-1.606757641E-1,2.348211035E-2,4.262553150E-1
5.056090260E-1,3.827257156E-1,-1.597704887E-1,-4.570972919E-2,4.172468835E-1
5.106251190E-1,3.193664551E-1,-1.185724735E-1,-5.895362794E-2,3.457309566E-1
5.156412130E-1,2.661457062E-1,-9.204697609E-2,-6.442801654E-2,2.888895153E-1
5.206573590E-1,2.134160995E-1,-5.648016930E-2,-5.313963443E-2,2.270688482E-1
5.256734530E-1,1.776828766E-1,-1.926326752E-2,-2.537843771E-2,1.805168779E-1
5.306895990E-1,1.469688416E-1,2.447772026E-2,8.730826899E-3,1.492488744E-1
5.357056920E-1,1.378698349E-1,3.689169884E-2,6.470426917E-3,1.428669144E-1
5.407218380E-1,1.216945648E-1,5.376482010E-2,3.814719617E-3,1.330968635E-1
5.457379320E-1,1.269626617E-1,4.185700417E-2,1.504714228E-2,1.345285946E-1
5.507540260E-1,1.131572723E-1,-8.051633835E-3,4.272478819E-2,1.212221292E-1
5.557701710E-1,1.303119659E-1,-3.855133057E-2,7.731489092E-2,1.563489876E-1
5.607862650E-1,1.805114746E-1,-6.645822525E-2,3.350392357E-2,1.952526596E-1
5.658024110E-1,2.397766113E-1,-9.168696404E-2,1.647626236E-2,2.572368363E-1
5.708185050E-1,2.794876099E-1,-1.002559662E-1,-2.592656016E-2,2.980549771E-1
5.758346510E-1,3.187828064E-1,-1.089804173E-1,-3.868289664E-2,3.391099755E-1
5.808507440E-1,3.695344925E-1,-1.249783039E-1,-4.846689105E-2,3.930958625E-1
5.858668380E-1,4.126768112E-1,-6.984782219E-2,-8.411739022E-2,4.269152189E-1
5.908829840E-1,4.506206512E-1,-3.209471703E-2,-1.167745441E-1,4.666104760E-1
5.958990780E-1,4.003038406E-1,1.205921173E-2,-1.183465421E-1,4.176056674E-1
6.009152240E-1,3.502025604E-1,7.719278336E-3,-7.697495818E-2,3.586454583E-1
6.059313170E-1,3.287200928E-1,3.580880165E-2,-4.340913519E-2,3.335019081E-1
6.109474630E-1,3.333425522E-1,1.087784767E-2,-3.222249448E-3,3.335355567E-1
6.159635570E-1,3.853149414E-1,-1.415085793E-2,2.592653036E-3,3.855834186E-1
6.209796510E-1,4.225969315E-1,-5.086660385E-2,-6.129609793E-2,4.300381256E-1
6.259957960E-1,4.619960785E-1,-3.015255928E-2,-1.446637958E-1,4.850537776E-1
6.310118900E-1,4.655590057E-1,-3.069519997E-2,-2.258044034E-1,5.183387037E-1
6.360280360E-1,3.977508545E-1,-6.240081787E-2,-2.448530346E-1,4.712245886E-1
6.410441300E-1,2.092323303E-1,-9.196710587E-2,-1.854063720E-1,2.942985548E-1
6.460602760E-1,8.608818054E-2,-1.196911335E-1,-1.361885667E-1,2.007099100E-1
6.510763690E-1,1.363372803E-2,-1.405599117E-1,-6.379458308E-2,1.549603696E-1
6.560925150E-1,1.983928680E-2,-1.620042324E-1,-1.812723279E-2,1.642180416E-1
6.611086090E-1,3.053379059E-2,-2.170324326E-1,4.359076545E-2,2.234626232E-1
6.661247550E-1,7.427883148E-2,-2.314867973E-1,6.893973798E-3,2.432098045E-1
6.711408490E-1,1.794881821E-1,-1.861836910E-1,-1.031833291E-1,2.784370193E-1
6.761569420E-1,2.578697205E-1,-1.146910191E-1,-2.174129188E-1,3.562572102E-1
6.811730880E-1,2.858181000E-1,-7.680702209E-2,-3.257309794E-1,4.401045056E-1
6.861891820E-1,2.280454636E-1,-4.401111603E-2,-3.449553847E-1,4.158556591E-1
6.912053280E-1,2.182817459E-1,-3.034019470E-2,-3.257469833E-1,3.932919337E-1
6.962214210E-1,4.033164978E-1,-1.904129982E-2,-2.686272562E-1,4.849612059E-1
7.012375670E-1,3.087749481E-1,-6.782221794E-2,-1.237628832E-1,3.394982667E-1
7.062536610E-1,7.926559448E-2,-1.647531986E-1,4.375870153E-2,1.879932841E-1
7.112698070E-1,-6.803321838E-2,-2.168135643E-1,1.411414146E-1,2.675024101E-1
7.162859010E-1,-7.906723022E-2,-2.501618862E-1,1.259381920E-1,2.910206598E-1
7.213019940E-1,-2.834796906E-2,-2.453784943E-1,5.851061642E-2,2.538458293E-1
7.263181400E-1,6.003379822E-2,-2.403523922E-1,-2.986775339E-2,2.495303830E-1
7.313342340E-1,1.455459595E-1,-2.465968132E-1,-1.294801086E-1,3.142589905E-1
7.363503800E-1,2.521333694E-1,-2.160949707E-1,-2.454520613E-1,4.129346035E-1
7.413664740E-1,3.510894775E-1,-1.730067730E-1,-4.344004095E-1,5.847211989E-1
7.463826190E-1,2.952489853E-1,-1.388893127E-1,-4.962069988E-1,5.938716951E-1
7.513987130E-1,1.877059937E-1,-1.025130749E-1,-4.797644615E-1,5.252774592E-1
7.564148590E-1,-1.162147522E-2,-7.615542412E-2,-3.596312404E-1,3.677897991E-1
7.614309530E-1,-2.619457245E-1,-8.667540550E-2,-1.909501255E-1,3.355445409E-1
7.664470990E-1,-4.987764359E-1,-1.196033955E-1,-1.653899252E-2,5.131826609E-1
7.714631920E-1,-6.677722931E-1,-1.157586575E-1,1.541917920E-1,6.950503657E-1
7.764792860E-1,-7.693576813E-1,-1.178236008E-1,2.713954449E-1,8.242870435E-1
7.814954320E-1,-7.731132507E-1,-1.183266640E-1,3.572282493E-1,8.598356354E-1
7.865115260E-1,-7.413034439E-1,-1.047194004E-1,3.977687955E-1,8.477717638E-1
7.915276710E-1,-6.266269684E-1,-1.148304939E-1,3.977996707E-1,7.510605687E-1
7.965437650E-1,-4.771089554E-1,-1.267352104E-1,3.265110254E-1,5.918650341E-1
8.015599110E-1,-3.144054413E-1,-1.356692314E-1,2.342081070E-1,4.148618556E-1
8.065760050E-1,-2.097892761E-1,-1.510150433E-1,1.473339498E-1,2.975304630E-1
8.115921510E-1,-1.581640244E-1,-1.754233837E-1,7.280792296E-2,2.471643498E-1
8.166082440E-1,-1.163196564E-1,-1.849942207E-1,1.989476010E-2,2.194286345E-1
8.216243900E-1,-9.610939026E-2,-1.633968353E-1,-4.444444552E-2,1.947070862E-1
8.266404840E-1,-1.305704117E-1,-1.274552345E-1,-8.405876160E-2,2.008963529E-1
8.316566300E-1,-1.861371994E-1,-9.183716774E-2,-6.782405078E-2,2.183603083E-1
8.366727240E-1,-2.460145950E-1,-7.315850258E-2,6.443552673E-3,2.567428029E-1
