"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.109188090E-1,-1.862812042E-1,3.042877316E-1,-1.997063905E-1,4.088696040E-1
1.160346430E-1,-1.452732086E-1,2.848064303E-1,-1.486435235E-1,3.525817706E-1
1.211504760E-1,-9.505462646E-2,3.059416413E-1,-9.840366244E-2,3.351401956E-1
1.262663090E-1,-5.867099762E-2,3.089972138E-1,-5.320322514E-2,3.189861240E-1
1.313821430E-1,3.607749939E-3,3.588472307E-1,-7.021209598E-2,3.656693715E-1
1.364979760E-1,3.580856323E-2,3.985310495E-1,-1.032989919E-1,4.132552871E-1
1.416138090E-1,6.451416016E-2,4.143955410E-1,-1.817028821E-1,4.570576316E-1
1.467296430E-1,2.767372131E-2,4.163693488E-1,-2.580651343E-1,4.906392595E-1
1.518454760E-1,-4.016399384E-2,3.998015225E-1,-3.253209889E-1,5.169991776E-1
1.569613090E-1,-1.311979294E-1,3.073177636E-1,-3.914028406E-1,5.146389881E-1
1.620771430E-1,-1.661615372E-1,2.337920964E-1,-4.559486806E-1,5.386627889E-1
1.671929760E-1,-1.144676208E-1,1.905909181E-1,-4.541530013E-1,5.056507519E-1
1.723088090E-1,-5.523300171E-2,1.789446771E-1,-3.807649016E-1,4.243274588E-1
1.774246430E-1,-6.747531891E-2,1.610626578E-1,-2.491973937E-1,3.042917012E-1
1.825404760E-1,-1.003236771E-1,1.811690927E-1,-1.680710018E-1,2.667113457E-1
1.876563090E-1,-1.207122803E-1,1.450535953E-1,-9.003858268E-2,2.090907614E-1
1.927721430E-1,-1.034078598E-1,1.566270292E-1,-7.065370679E-2,2.005421602E-1
1.978879760E-1,-1.099557877E-1,1.657535434E-1,-6.170803308E-2,2.082603988E-1
2.030038090E-1,-7.447052002E-2,1.723908186E-1,-8.156749606E-2,2.047381476E-1
2.081196430E-1,-6.795406342E-2,1.952447891E-1,-1.270490587E-1,2.426514903E-1
2.132354760E-1,-7.797145844E-2,2.270497680E-1,-1.173982024E-1,2.672330133E-1
2.183513090E-1,-5.273818970E-2,2.700170279E-1,-1.262022406E-1,3.026838574E-1
2.234671430E-1,-2.813053131E-2,2.910328805E-1,-1.321552992E-1,3.208683335E-1
2.285829760E-1,-1.580047607E-2,2.930236757E-1,-1.636302322E-1,3.359871760E-1
2.336988090E-1,3.270149231E-3,2.763538957E-1,-2.174347639E-1,3.516533038E-1
2.388146430E-1,8.563995361E-4,2.438486218E-1,-2.254269421E-1,3.320846127E-1
2.439304760E-1,2.659606934E-2,2.026275992E-1,-2.284761667E-1,3.065398076E-1
2.490463090E-1,4.711914062E-2,1.789016128E-1,-1.893657744E-1,2.647364670E-1
2.541621430E-1,7.897663116E-2,1.490219235E-1,-1.626491547E-1,2.343066142E-1
2.592779760E-1,1.032066345E-1,1.272990108E-1,-1.435504258E-1,2.178609012E-1
2.643938090E-1,1.575403214E-1,1.489832401E-1,-8.693361282E-2,2.336073880E-1
2.695096430E-1,1.874275208E-1,1.450510025E-1,-6.432141364E-2,2.455730301E-1
2.746254760E-1,1.581211090E-1,1.436897516E-1,-6.541699171E-2,2.234466662E-1
2.797413090E-1,5.659103394E-2,9.747862816E-2,-6.188398600E-2,1.285855971E-1
2.848571430E-1,-5.447387695E-3,5.903285742E-2,-6.297433376E-2,8.648883743E-2
2.899729760E-1,-4.521179199E-2,2.808654308E-2,-6.120437384E-2,8.111063687E-2
2.950888090E-1,-6.548881531E-2,1.139271259E-2,-4.050464928E-2,7.784089827E-2
