"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.102361050E-1,8.507949114E-2,-8.020656109E-1,1.588922501E0,1.781915396E0
1.153501680E-1,7.719153166E-2,-7.361215949E-1,1.493434906E0,1.666787735E0
1.204642300E-1,8.371245861E-2,-7.001855969E-1,1.357063293E0,1.529342482E0
1.255782930E-1,7.859659195E-2,-6.285755634E-1,1.311468124E0,1.456445435E0
1.306923550E-1,5.314844847E-2,-5.841045976E-1,1.263052940E0,1.392589555E0
1.358064180E-1,4.510068893E-2,-5.354522467E-1,1.151770592E0,1.270951878E0
1.409204800E-1,4.197663069E-2,-5.146805644E-1,1.060144424E0,1.179221914E0
1.460345430E-1,5.068862438E-2,-4.419957399E-1,1.003290176E0,1.097506605E0
1.511486050E-1,1.975464821E-2,-4.390114546E-1,9.150352478E-1,1.015091527E0
1.562626680E-1,4.047769308E-2,-4.501623511E-1,8.377580643E-1,9.519050164E-1
1.613767300E-1,7.232642174E-2,-4.307290912E-1,8.010530472E-1,9.123840450E-1
1.664907930E-1,4.289174080E-2,-4.163630009E-1,7.640724182E-1,8.712086491E-1
1.716048550E-1,8.171182871E-2,-4.184098244E-1,6.942081451E-1,8.146585499E-1
1.767189180E-1,9.375351667E-2,-4.385100603E-1,6.735906601E-1,8.092003289E-1
1.818329800E-1,5.674076080E-2,-4.178698063E-1,6.147260666E-1,7.454681924E-1
1.869470430E-1,3.488492966E-2,-3.900799751E-1,5.534782410E-1,6.780247109E-1
1.920611050E-1,9.022736549E-2,-3.996813297E-1,5.293350220E-1,6.693890560E-1
1.971751680E-1,3.222745657E-2,-3.853353262E-1,5.365924835E-1,6.614026126E-1
2.022892300E-1,2.941989899E-2,-3.903398514E-1,6.396760941E-1,7.499441548E-1
2.074032930E-1,6.163138151E-2,-3.938833475E-1,7.801876068E-1,8.761479444E-1
2.125173550E-1,4.185962677E-2,-4.269787073E-1,9.362983704E-1,1.029911493E0
2.176314180E-1,6.247109175E-2,-4.546359777E-1,1.093679428E0,1.186056997E0
2.227454800E-1,2.903354168E-2,-4.770088196E-1,1.172950745E0,1.266567728E0
2.278595430E-1,4.544299841E-2,-4.591509104E-1,1.166556358E0,1.254487290E0
2.329736050E-1,5.720400810E-2,-4.301878214E-1,1.188753128E0,1.265491154E0
2.380876680E-1,2.660477161E-2,-4.322549105E-1,1.121808052E0,1.202499658E0
2.432017300E-1,3.908318281E-2,-4.102942944E-1,1.063684464E0,1.140742539E0
2.483157930E-1,1.606678963E-2,-3.877938986E-1,9.156932831E-1,9.945533863E-1
2.534298550E-1,3.354424238E-2,-3.545380831E-1,7.546901703E-1,8.344936918E-1
2.585439180E-1,2.022385597E-2,-2.958265543E-1,5.621013641E-1,6.355157733E-1
2.636579800E-1,5.856519938E-2,-2.659887075E-1,4.134731293E-1,4.951160508E-1
2.687014700E-1,3.742361069E-2,-2.404465675E-1,3.173036575E-1,3.998708411E-1
2.737160010E-1,6.162947416E-2,-2.499988079E-1,2.866086960E-1,3.852818976E-1
2.787304800E-1,4.067611694E-2,-2.546027899E-1,3.505954742E-1,4.351945699E-1
2.837449590E-1,6.483787298E-2,-3.114840984E-1,4.675531387E-1,5.655371172E-1
2.887594900E-1,5.096024275E-2,-3.409723043E-1,6.247177124E-1,7.135343572E-1
2.937739700E-1,4.225659370E-2,-4.555485249E-1,9.130764008E-1,1.021282817E0
2.987885010E-1,8.802753687E-2,-5.325449705E-1,1.226908684E0,1.340394685E0
3.038029800E-1,8.649116755E-2,-5.945570469E-1,1.420012474E0,1.541886582E0
3.088175110E-1,7.824718952E-2,-6.422157884E-1,1.546271324E0,1.676161910E0
3.138319900E-1,8.485031128E-2,-6.571751833E-1,1.606882095E0,1.738145237E0
3.188465220E-1,1.032408476E-1,-6.804986596E-1,1.617021561E0,1.757411684E0
3.238610010E-1,8.657115698E-2,-7.009379268E-1,1.685918808E0,1.827876027E0
3.288754800E-1,7.318079472E-2,-7.781914473E-1,1.822147369E0,1.982714905E0
3.338900110E-1,5.351066589E-2,-8.482643366E-1,1.914006233E0,2.094238677E0
3.389045430E-1,6.768631935E-2,-8.912517428E-1,1.997615814E0,2.188465227E0
3.439190220E-1,7.090681791E-2,-1.012660265E0,2.207707405E0,2.429913697E0
3.489335010E-1,7.971668243E-2,-1.139843941E0,2.507259369E0,2.755349071E0
3.539480320E-1,1.055565476E-1,-1.295243502E0,2.746684074E0,3.038596932E0
3.589625110E-1,1.391252279E-1,-1.431928396E0,2.894294739E0,3.232138115E0
3.639770430E-1,1.331626773E-1,-1.533911824E0,2.935368538E0,3.314665328E0
3.689915220E-1,1.424683928E-1,-1.656778336E0,2.985227585E0,3.417132633E0
3.740060530E-1,1.502321959E-1,-1.750307083E0,2.971156120E0,3.451653704E0
3.790205320E-1,1.306830645E-1,-1.806729794E0,2.717518806E0,3.265923923E0
3.840350630E-1,1.124394536E-1,-1.858019471E0,2.551712990E0,3.158499354E0
3.890495430E-1,1.588885188E-1,-2.014693737E0,2.588976860E0,3.284362586E0
3.940640740E-1,1.918767095E-1,-2.065235138E0,2.366531372E0,3.146821187E0
3.990785530E-1,1.471682191E-1,-2.045058727E0,1.857403755E0,2.766563282E0
4.040930840E-1,1.437637806E-1,-2.024353981E0,1.493373871E0,2.519690970E0
4.091075630E-1,1.057599187E-1,-2.035401344E0,1.287230492E0,2.410602856E0
4.141220950E-1,1.631508470E-1,-2.080285549E0,1.102748871E0,2.360140088E0
4.191365740E-1,1.611350775E-1,-2.156477213E0,1.143222809E0,2.446081943E0
4.241511050E-1,1.523098350E-1,-2.109192133E0,6.754121780E-1,2.219925978E0
4.291655840E-1,2.198550105E-1,-2.151618958E0,7.304248810E-1,2.282831766E0
4.341800630E-1,2.086774111E-1,-2.259354115E0,9.354257584E-1,2.454230761E0
4.391945950E-1,1.884817481E-1,-2.264393091E0,5.551767349E-1,2.339064481E0
4.442090740E-1,1.808209419E-1,-2.272481918E0,2.240686417E-1,2.290649916E0
4.492236050E-1,2.276899219E-1,-2.303740978E0,4.409475327E-1,2.356586498E0
4.542380840E-1,2.008449435E-1,-2.307140827E0,2.291765213E-1,2.327178413E0
4.592526150E-1,1.482820511E-1,-2.413927555E0,1.329517365E-1,2.422129223E0
4.642670950E-1,2.265714407E-1,-2.199712276E0,-5.421085358E-1,2.276829019E0
4.692816260E-1,1.570369005E-1,-2.083225012E0,-8.551998138E-1,2.257399778E0
4.742961050E-1,2.091387510E-1,-2.222552299E0,-2.506809235E-1,2.246401270E0
4.793106360E-1,3.008512259E-1,-2.361392021E0,1.226110458E-1,2.383635292E0
4.843251150E-1,1.214531660E-1,-2.421536207E0,-5.146980286E-2,2.425126309E0
4.893396470E-1,2.277253866E-1,-2.261077166E0,-5.709066391E-1,2.343131066E0
4.943541260E-1,2.073180676E-1,-2.223220825E0,-5.228757858E-1,2.293270744E0
4.993686570E-1,2.914258242E-1,-2.414191246E0,2.183332443E-1,2.441499086E0
5.043831360E-1,1.945539713E-1,-2.602690220E0,4.577674866E-1,2.649792199E0
5.093976680E-1,2.240151167E-1,-2.527935743E0,2.807950974E-2,2.537997312E0
5.144121470E-1,1.273994446E-1,-2.393739700E0,-4.882035255E-1,2.446336660E0
5.194266780E-1,3.469015360E-1,-2.601077557E0,4.797868729E-1,2.667609524E0
5.244411570E-1,3.435913324E-1,-2.754862785E0,2.480416298E-1,2.787265438E0
5.294556880E-1,1.907186508E-1,-2.869755745E0,3.605813980E-1,2.898601488E0
5.344701680E-1,2.314909697E-1,-2.951128960E0,6.472005844E-1,3.030118612E0
5.394846990E-1,3.641121387E-1,-3.141711712E0,8.515734673E-1,3.275378986E0
5.444991780E-1,2.792949677E-1,-3.448616982E0,1.197193623E0,3.661179774E0
5.495136570E-1,2.921921015E-1,-3.582685471E0,9.284844398E-1,3.712559058E0
5.545281880E-1,1.886016130E-1,-3.725589275E0,9.875874519E-1,3.858874835E0
5.595427200E-1,5.290402174E-1,-3.937351227E0,1.421075344E0,4.219250333E0
5.645571990E-1,4.315775633E-1,-4.143881321E0,1.167745590E0,4.326851206E0
5.695717300E-1,2.253036499E-1,-4.208264828E0,5.506255627E-1,4.250110952E0
5.745862090E-1,3.998577595E-1,-4.268117428E0,4.699134827E-1,4.312485511E0
5.796007400E-1,3.371362686E-1,-4.393494129E0,3.204674721E-1,4.418048317E0
5.846152200E-1,4.778083563E-1,-4.599108696E0,5.675837994E-1,4.658567697E0
5.896297510E-1,5.118893385E-1,-4.800409794E0,5.116982460E-1,4.854667855E0
5.946442300E-1,3.875815868E-1,-5.030983925E0,9.145219326E-1,5.128096051E0
5.996587610E-1,4.296379089E-1,-5.175277710E0,3.445916176E-1,5.204501080E0
6.046732400E-1,5.482776165E-1,-5.379995346E0,3.515686393E-1,5.419276592E0
6.096877720E-1,7.069278955E-1,-5.820684433E0,1.197548866E0,5.984499779E0
6.147022510E-1,3.712826967E-1,-6.099609375E0,9.318144321E-1,6.181534074E0
6.197167820E-1,5.615971088E-1,-6.389307976E0,8.922398090E-1,6.475703792E0
6.247312610E-1,8.812641501E-1,-6.681127548E0,9.122488499E-1,6.800462468E0
6.297457930E-1,5.266261101E-1,-6.807374954E0,-3.327212334E-1,6.835816868E0
6.347602720E-1,6.571560502E-1,-7.027915478E0,6.308674812E-2,7.058854721E0
6.397748030E-1,7.631051540E-1,-7.661485195E0,6.838929653E-1,7.729708562E0
6.447892820E-1,3.528468609E-1,-7.740245819E0,-1.299712658E-1,7.749374089E0
6.498038130E-1,8.886581063E-1,-7.913136005E0,-3.124840260E-1,7.969007525E0
6.548182930E-1,8.924477696E-1,-8.217415810E0,-3.789615631E-1,8.274418256E0
6.598327720E-1,5.542570353E-1,-8.474054337E0,-1.016138077E0,8.552738412E0
6.648473030E-1,8.593431115E-1,-8.536046028E0,-1.338943005E0,8.683047895E0
6.698618340E-1,7.465634346E-1,-8.793276787E0,-1.511077404E0,8.953347337E0
6.748763130E-1,5.799155235E-1,-9.029870987E0,-2.024775028E0,9.272248162E0
6.798908450E-1,8.303729296E-1,-8.952404022E0,-2.450366020E0,9.318763363E0
6.849053240E-1,9.336348176E-1,-9.304791451E0,-2.227208138E0,9.613078279E0
6.899198550E-1,7.082692385E-1,-9.503328323E0,-2.426956177E0,9.833870592E0
6.949343340E-1,8.771643639E-1,-9.484154701E0,-3.347076416E0,1.009561926E1
6.999488650E-1,9.506992102E-1,-9.502338409E0,-3.680272579E0,1.023438667E1
7.049633450E-1,6.730559468E-1,-9.521379471E0,-4.238368034E0,1.044382281E1
7.099778760E-1,8.175715208E-1,-9.104732513E0,-4.756104469E0,1.030461581E1
