"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.053680780E-1,7.382478714E-1,2.356333017E0,-1.197299957E0,2.744238036E0
1.103839630E-1,8.068031669E-1,1.976920843E0,-1.428619385E0,2.569066118E0
1.153998490E-1,3.133664131E-1,1.910612822E0,-1.536558151E0,2.471770785E0
1.204156300E-1,2.279320955E-1,2.073097229E0,-1.424444199E0,2.525614071E0
1.254315150E-1,6.365923882E-1,1.973934412E0,-1.245390892E0,2.419228267E0
1.304474010E-1,1.714739799E0,6.696914673E0,-5.292243958E-1,6.933186654E0
1.354631820E-1,6.586282253E-1,1.546777153E1,6.823959351E-1,1.549681940E1
1.404790670E-1,-6.121135235E0,1.154247761E0,2.545514107E0,6.729058368E0
1.454948490E-1,6.380494118E0,-3.253986359E0,9.505729675E-1,7.225145076E0
1.505107860E-1,3.829639435E0,5.940400124E0,-3.087191582E0,7.712667742E0
1.555265670E-1,-6.508890629E0,3.017268181E0,-4.916505814E-1,7.191055888E0
1.605424530E-1,4.524292648E-1,-3.091330051E0,-3.950716972E0,5.036782537E0
1.655583380E-1,3.993247032E0,5.743153095E-1,-2.049279213E0,4.524975716E0
1.705741200E-1,-1.213994265E0,4.032288551E0,-1.977863312E-1,4.215714942E0
1.755900050E-1,-1.202140570E0,7.132101059E-2,4.462337494E-2,1.205080861E0
1.806058900E-1,2.082713842E0,-2.242969990E0,-1.147140503E0,3.268721869E0
1.856216720E-1,5.866616964E-1,1.317456722E0,-2.239665985E-1,1.459460585E0
1.906375570E-1,-8.615543246E-1,3.005332470E0,-4.945716858E-1,3.165264643E0
1.956534420E-1,-2.764109373E-1,-6.022610664E-1,-1.346860886E0,1.501051513E0
2.006692240E-1,1.177657127E0,-6.054992676E-1,-1.296730995E0,1.853379871E0
2.056851090E-1,2.649205625E-1,2.277104378E0,5.952777863E-1,2.368489581E0
2.107009950E-1,-1.655840874E-1,1.144816399E0,6.775121689E-1,1.340539226E0
2.157167760E-1,1.165727854E0,-3.449044228E-1,-3.041172028E-1,1.253143153E0
2.207326610E-1,1.110719144E-1,2.015807629E0,-4.535598755E-1,2.069186779E0
2.257485470E-1,-1.105710506E0,3.461462975E0,5.383348465E-1,3.673435185E0
2.307643280E-1,9.577148557E-1,1.879009962E0,5.440587997E-1,2.178048705E0
