"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.082351600E-1,7.988855243E-3,4.280805588E-3,-4.538631439E-2,4.628244417E-2
4.132505760E-1,5.917072296E-3,8.195161819E-3,2.101421356E-2,2.331886776E-2
4.182659930E-1,1.088793576E-2,-4.911422729E-5,3.227806091E-2,3.406497870E-2
4.232814620E-1,1.822242141E-2,-2.506470680E-2,2.456569672E-2,3.954452711E-2
4.282968780E-1,2.561540157E-2,-1.946640015E-2,7.145214081E-2,7.836132948E-2
4.333123470E-1,9.134978056E-3,-1.200199127E-2,9.423255920E-2,9.543202205E-2
4.383277640E-1,9.606555104E-3,-1.212859154E-2,9.556102753E-2,9.680546790E-2
4.433431800E-1,1.733264327E-2,-3.392767906E-2,7.094669342E-2,8.052913284E-2
4.483586490E-1,3.679752350E-3,-1.547980309E-2,5.614376068E-2,5.835483480E-2
4.533740660E-1,1.823227108E-2,4.776954651E-3,6.762695312E-2,7.020427190E-2
4.583894830E-1,2.344787866E-2,-1.075720787E-2,4.586696625E-2,5.262413066E-2
4.634049510E-1,7.210001349E-3,-9.607315063E-3,-1.588153839E-2,1.991250572E-2
4.684203680E-1,1.246155798E-2,3.367424011E-3,-2.012538910E-2,2.390943869E-2
4.734357850E-1,-1.559333503E-2,4.537582397E-3,-1.963138580E-2,2.547808980E-2
4.784512530E-1,4.029795527E-3,3.428673744E-2,-3.339195251E-2,4.802959618E-2
4.834666700E-1,2.576217800E-2,2.851152420E-2,-6.366729736E-2,7.436478724E-2
4.884821390E-1,4.728451371E-3,1.367211342E-2,-8.897113800E-2,9.013960470E-2
4.934975550E-1,-1.610121131E-2,3.712749481E-2,-5.721569061E-2,7.008091844E-2
4.985129720E-1,1.075036824E-2,5.115580559E-2,-3.770446777E-2,6.445241464E-2
5.035284410E-1,1.563331485E-2,4.149436951E-2,-5.161190033E-2,6.804389384E-2
5.085438580E-1,-5.507215858E-3,2.017283440E-2,-6.777381897E-2,7.092646341E-2
5.135592740E-1,6.860792637E-3,3.008031845E-2,-3.879261017E-2,4.956574056E-2
5.185747430E-1,1.658107340E-2,3.749084473E-2,-1.483726501E-2,4.359632859E-2
5.235901600E-1,1.665183902E-2,2.346873283E-2,-1.007747650E-2,3.048968180E-2
5.286055760E-1,9.806513786E-3,4.756212234E-3,-1.482677460E-2,1.840169863E-2
5.336210450E-1,1.978996396E-2,7.449388504E-3,-5.331039429E-4,2.115231104E-2
5.386364620E-1,-1.368999481E-3,2.651309967E-2,4.449462891E-2,5.181303519E-2
5.436519300E-1,1.798728108E-2,1.202511787E-2,3.459739685E-2,4.080595066E-2
5.486673470E-1,3.013580292E-2,-9.557485580E-3,3.193759918E-2,4.493909645E-2
5.536827640E-1,3.023698181E-2,4.434585571E-3,1.986503601E-2,3.644942076E-2
5.586982330E-1,2.574676275E-2,2.770042419E-2,3.402042389E-2,5.086844340E-2
5.637136490E-1,3.305225074E-2,2.923345566E-2,2.673721313E-2,5.159384435E-2
5.687290660E-1,2.143006027E-2,7.000446320E-3,-6.567001343E-3,2.348146585E-2
5.737445350E-1,1.227055490E-2,1.587057114E-2,-1.111698151E-2,2.293531826E-2
5.787599510E-1,3.400075436E-2,1.991486549E-2,-1.388549805E-3,3.942817819E-2
5.837753680E-1,3.647815436E-2,2.401256561E-2,-1.312541962E-2,4.560192642E-2
5.887908370E-1,2.478174865E-2,9.294509888E-3,-3.667449951E-2,4.522766736E-2
5.938062530E-1,1.068088412E-2,1.849365234E-2,-6.003761292E-2,6.372292701E-2
5.988217220E-1,2.288927138E-2,2.304291725E-2,-4.763984680E-2,5.765804179E-2
6.038371390E-1,2.078859508E-2,1.345777512E-2,-2.588844299E-2,3.582581300E-2
6.088525550E-1,1.858253777E-2,6.444931030E-3,-4.233455658E-2,4.668042980E-2
6.138680240E-1,4.031334817E-2,-4.239082336E-4,-5.154037476E-2,6.543512794E-2
6.188834410E-1,3.337996453E-2,-2.458333969E-3,-2.506446838E-2,4.181498551E-2
6.238988580E-1,7.424384356E-3,-2.188205719E-3,-1.066112518E-2,1.317457087E-2
6.289143260E-1,2.939945459E-2,-6.755113602E-3,-1.059913635E-2,3.197344494E-2
6.339297430E-1,3.179118037E-2,-6.620883942E-3,-1.052474976E-2,3.413627998E-2
6.389452120E-1,2.015158534E-2,-6.489515305E-3,1.566886902E-2,2.633844447E-2
6.439606280E-1,3.232611716E-2,5.398273468E-3,1.318073273E-2,3.532493343E-2
6.489760450E-1,3.246603906E-2,-1.150751114E-2,2.263069153E-2,4.121425365E-2
6.539915140E-1,2.551797032E-2,-1.402783394E-2,1.137733459E-3,2.914174620E-2
6.590069300E-1,1.867681742E-2,-1.420879364E-2,-3.541946411E-3,2.373307207E-2
6.640223470E-1,1.020133495E-4,-9.727001190E-3,1.557826996E-2,1.836593188E-2
6.690378160E-1,1.962602139E-2,-5.283832550E-3,1.317310333E-2,2.422045114E-2
6.740532330E-1,1.509454846E-2,3.899335861E-3,-5.842208862E-3,1.664877226E-2
6.790687010E-1,3.692165017E-3,-3.552675247E-3,-1.521110535E-2,1.605089748E-2
6.840841180E-1,8.763596416E-3,5.649566650E-3,-1.737689972E-2,2.026511459E-2
6.890995350E-1,2.605709434E-2,1.723289490E-2,-1.004219055E-2,3.281448495E-2
6.941150030E-1,2.642732859E-2,9.553909302E-3,-2.729415894E-3,2.823350120E-2
6.991304200E-1,3.143586218E-2,-7.790565491E-3,4.572868347E-3,3.270806425E-2
7.041458370E-1,2.458767593E-2,-1.362562180E-3,3.320980072E-2,4.134369658E-2
7.091613050E-1,1.054503024E-2,1.911067963E-2,2.840137482E-2,3.581974079E-2
7.141767220E-1,2.287960052E-2,2.053594589E-2,1.886081696E-2,3.606842955E-2
7.191921910E-1,4.467929155E-2,2.195048332E-2,-1.908779144E-2,5.331422506E-2
7.242076080E-1,2.557627857E-2,6.877660751E-3,-1.402664185E-2,2.996990030E-2
7.292230240E-1,3.547598422E-2,2.282428741E-2,-3.037452698E-2,5.198177990E-2
7.342384930E-1,3.327985108E-2,2.705335617E-3,8.091926575E-3,3.435617273E-2
7.392539100E-1,4.770557582E-2,-3.260135651E-3,2.967643738E-2,5.627736121E-2
7.442693260E-1,1.226289570E-2,-1.461911201E-2,7.973575592E-2,8.198711984E-2
7.492847950E-1,3.185008466E-2,-3.613042831E-2,1.414260864E-1,1.494027231E-1
7.543002120E-1,5.140519142E-2,-4.877686501E-2,1.814279556E-1,1.947762289E-1
7.593156800E-1,5.166634917E-2,-4.504561424E-2,1.333322525E-1,1.499200072E-1
7.643310970E-1,5.899854004E-2,-1.751899719E-2,7.374763489E-2,9.605444623E-2
7.693465140E-1,3.777299821E-2,1.970839500E-2,-5.191898346E-2,6.716249751E-2
7.743619830E-1,5.469023436E-2,3.595113754E-2,-9.835052490E-2,1.181369196E-1
7.793773990E-1,3.814829886E-2,5.793499947E-2,-1.897697449E-1,2.020502733E-1
7.843928160E-1,4.520328343E-2,9.748315811E-2,-2.688274384E-1,2.895073308E-1
7.894082850E-1,5.236768723E-2,8.559513092E-2,-2.928819656E-1,3.095944878E-1
7.944237010E-1,3.312720358E-2,9.890341759E-2,-2.695779800E-1,2.890529103E-1
7.994391700E-1,3.523430228E-2,1.017315388E-1,-2.753124237E-1,2.956140942E-1
8.044545870E-1,-9.376257658E-4,1.308195591E-1,-3.623199463E-1,3.852147189E-1
8.094700030E-1,2.238801122E-2,2.266490459E-1,-6.326379776E-1,6.723851752E-1
8.144854720E-1,-2.185811102E-2,4.265835285E-1,-1.234844208E0,1.306633652E0
8.195008890E-1,1.470749080E-2,5.882177353E-1,-1.736614227E0,1.833588119E0
8.245163050E-1,7.274448872E-4,5.578057766E-1,-1.886587143E0,1.967322765E0
8.295317740E-1,1.286065578E-2,3.980681896E-1,-1.368829727E0,1.425594087E0
8.345471910E-1,1.302424073E-2,1.992309093E-1,-5.608463287E-1,5.953244414E-1
8.395626600E-1,1.349177957E-2,-2.661705017E-2,1.793756485E-1,1.818409161E-1
8.445780760E-1,4.708638787E-2,-2.002701759E-1,6.651859283E-1,6.962740772E-1
8.495934930E-1,3.362214565E-2,-3.442542553E-1,9.676847458E-1,1.027645468E0
8.546089620E-1,4.654033482E-2,-3.886733055E-1,1.181163788E0,1.244339518E0
8.596243780E-1,7.184692472E-2,-3.989653587E-1,1.377654076E0,1.436059222E0
8.646397950E-1,4.284182191E-2,-4.808238745E-1,1.517094612E0,1.592043681E0
8.696552640E-1,5.721989274E-2,-5.539404154E-1,1.702230453E0,1.791008827E0
8.746706800E-1,6.048078090E-2,-6.303086281E-1,1.920824051E0,2.022501403E0
8.796861490E-1,5.250392854E-2,-6.243394613E-1,1.982661247E0,2.079303260E0
8.847015660E-1,5.919758230E-2,-6.052074432E-1,1.877139091E0,1.973178039E0
8.897169830E-1,5.698958039E-2,-6.083838940E-1,1.736247063E0,1.840633760E0
8.947324510E-1,7.455063611E-2,-6.305208206E-1,1.655163765E0,1.772760952E0
8.997478680E-1,4.734963179E-2,-5.664402246E-1,1.536011696E0,1.637812091E0
9.047632850E-1,6.090031564E-2,-5.180633068E-1,1.379011154E0,1.474371121E0
9.097787530E-1,7.712595910E-2,-5.125323534E-1,1.103575706E0,1.219228103E0
9.147941700E-1,6.991247833E-2,-4.822887182E-1,7.747154236E-1,9.152454042E-1
9.198096390E-1,7.719665766E-2,-4.515359402E-1,6.921567917E-1,8.300150923E-1
9.248250550E-1,6.331279874E-2,-4.854081869E-1,7.995939255E-1,9.375393667E-1
9.298404720E-1,5.959770083E-2,-5.933641195E-1,1.024471283E0,1.185400470E0
9.348559410E-1,1.035883054E-1,-6.579747200E-1,1.054793358E0,1.247497614E0
9.398713580E-1,8.123706281E-2,-6.077883244E-1,8.945302963E-1,1.084523194E0
9.448868260E-1,9.016161412E-2,-5.978376865E-1,8.349828720E-1,1.030890592E0
9.499022430E-1,7.810361683E-2,-6.389768124E-1,7.992753983E-1,1.026271262E0
9.549176600E-1,9.728012979E-2,-5.813734531E-1,6.449241638E-1,8.737194588E-1
9.599331280E-1,8.554433286E-2,-6.013081074E-1,6.697521210E-1,9.041333842E-1
9.649485450E-1,6.951667368E-2,-6.161394119E-1,7.042026520E-1,9.382759284E-1
9.699639620E-1,7.997806370E-2,-7.049038410E-1,9.907569885E-1,1.218558709E0
9.749794300E-1,8.378323913E-2,-7.918946743E-1,1.073526382E0,1.336628482E0
9.799948470E-1,1.115076095E-1,-7.189402580E-1,5.739383698E-1,9.266683840E-1
9.850103160E-1,8.433517814E-2,-6.446020603E-1,3.613739014E-1,7.437844681E-1
9.900257330E-1,1.100436449E-1,-6.904466152E-1,5.762577057E-1,9.060348093E-1
9.950411490E-1,1.049040109E-1,-7.020108700E-1,6.400108337E-1,9.557394940E-1
1.000056618E0,7.372456789E-2,-7.304928303E-1,2.091703415E-1,7.634181808E-1
1.005072035E0,9.992125630E-2,-6.162559986E-1,-9.276771545E-2,6.311589042E-1
1.010087503E0,7.864925265E-2,-5.941185951E-1,4.057502747E-2,6.006737408E-1
1.015102920E0,7.168987393E-2,-6.494975090E-1,2.641649246E-1,7.048188133E-1
