"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.057002210E-1,-1.222619057E0,1.491900980E-1,2.203786373E-2,1.231885023E0
1.107165230E-1,-9.796266556E-1,7.562001050E-2,3.531229496E-2,9.831753295E-1
1.157328250E-1,-8.783006668E-1,3.576981649E-2,5.371725559E-2,8.806685441E-1
1.207491270E-1,-8.406791687E-1,4.349203780E-2,4.096451402E-2,8.427995690E-1
1.257653770E-1,-9.002695084E-1,9.655864537E-2,8.025002480E-2,9.089823024E-1
1.307816790E-1,-9.567594528E-1,1.909351349E-1,7.174700499E-3,9.756517579E-1
1.357979810E-1,-9.482421875E-1,2.774536014E-1,-2.070426643E-1,1.009460456E0
1.408142830E-1,-8.080110550E-1,3.661558330E-1,-4.145406187E-1,9.791812312E-1
1.458305850E-1,-7.363796234E-1,4.084455967E-1,-6.251399517E-1,1.048752933E0
1.508468870E-1,-6.382751465E-1,3.992616534E-1,-7.120240331E-1,1.036235135E0
1.558631370E-1,-5.189208984E-1,3.887359500E-1,-6.584638357E-1,9.241045182E-1
1.608794400E-1,-4.527702332E-1,3.233634830E-1,-5.170284510E-1,7.595283044E-1
1.658957420E-1,-4.147758484E-1,2.673877478E-1,-3.522705436E-1,6.063247875E-1
1.709120440E-1,-4.063005447E-1,2.669152021E-1,-2.149001956E-1,5.315128896E-1
1.759283460E-1,-4.288034439E-1,2.366810292E-1,-1.767302155E-1,5.206955657E-1
1.809446480E-1,-3.930549622E-1,2.566348314E-1,-1.540619433E-1,4.940533598E-1
1.859609500E-1,-3.099012375E-1,2.322094738E-1,-9.132951498E-2,3.978707039E-1
1.909772000E-1,-2.223892212E-1,2.530316710E-1,-1.998853683E-2,3.374633815E-1
1.959935020E-1,-1.281318665E-1,2.292520851E-1,4.525616765E-2,2.665003085E-1
2.010098040E-1,-7.373142242E-2,2.109556794E-1,9.683105350E-2,2.435464519E-1
2.060261060E-1,-6.040763855E-2,2.211660296E-1,1.326305568E-1,2.648666835E-1
2.110424080E-1,-1.151399612E-1,2.659817636E-1,1.509536505E-1,3.267881788E-1
2.160587100E-1,-2.573661804E-1,3.186454773E-1,1.266036928E-1,4.287199389E-1
2.210750120E-1,-4.782047272E-1,4.043113291E-1,1.243934929E-1,6.384521541E-1
2.260912620E-1,-6.895427704E-1,4.967098534E-1,1.248721182E-1,8.589429298E-1
2.311075650E-1,-7.210159302E-1,5.608516335E-1,1.771704853E-1,9.304879942E-1
2.361238670E-1,-6.164255142E-1,6.025313139E-1,2.263406515E-1,8.912095653E-1
2.411401690E-1,-5.097637177E-1,5.780154467E-1,2.538667619E-1,8.114242030E-1
2.461564710E-1,-4.360914230E-1,5.120880008E-1,2.646067142E-1,7.227908155E-1
2.511727730E-1,-3.594665527E-1,4.501998425E-1,2.727821171E-1,6.374215121E-1
2.561890750E-1,-3.150615692E-1,3.502145410E-1,2.482942939E-1,5.325073459E-1
2.612053250E-1,-2.387466431E-1,2.690602541E-1,2.744949460E-1,4.524829890E-1
2.662216270E-1,-1.099805832E-1,2.227219641E-1,2.922334075E-1,3.835376988E-1
2.712379290E-1,-5.174446106E-2,1.707783937E-1,2.520334125E-1,3.088099578E-1
2.762542310E-1,1.723480225E-2,2.047703862E-1,2.152943611E-1,2.976232709E-1
2.812705330E-1,1.061735153E-1,2.527660728E-1,1.332802474E-1,3.048395106E-1
2.862868350E-1,1.818180084E-1,3.075009286E-1,-1.817485690E-2,3.576939121E-1
2.913031370E-1,1.739006042E-1,3.409508467E-1,-1.504821777E-1,4.112587821E-1
2.963193870E-1,1.920070648E-1,3.348719478E-1,-2.107949555E-1,4.398186531E-1
3.013356900E-1,2.051820755E-1,3.564592898E-1,-3.093753159E-1,5.146610491E-1
3.063519920E-1,3.076820374E-1,3.557741642E-1,-2.319709063E-1,5.244559022E-1
3.113682940E-1,3.473682404E-1,3.301861286E-1,-2.496608198E-1,5.403869899E-1
3.163845960E-1,1.321668625E-1,2.679090500E-1,-2.240884602E-1,3.734420659E-1
3.214008980E-1,-9.198188782E-3,2.668790519E-1,-1.465104222E-1,3.045888029E-1
3.264172000E-1,-9.142465591E-1,3.352605402E-1,-5.697028041E-1,1.128187788E0
3.314335020E-1,-8.607673645E-1,4.890845418E-1,-1.338909864E-1,9.990249952E-1
3.364497520E-1,-9.687385559E-1,4.699683785E-1,-6.892631054E-1,1.278439789E0
3.414660540E-1,-8.984899521E-1,4.862664938E-1,-9.816348553E-2,1.026340765E0
3.464823560E-1,-4.213304520E-1,4.810894430E-1,3.016588390E-1,7.070816481E-1
3.514986580E-1,-1.656818390E-1,3.203258514E-1,4.601898193E-1,5.846655392E-1
3.565149600E-1,-1.329917908E-1,9.028261900E-2,6.384044886E-1,6.583297492E-1
3.615312620E-1,-4.358501434E-1,-8.636748791E-2,7.221953869E-1,8.479332918E-1
3.665475650E-1,-9.588737488E-1,-9.031000733E-2,7.058055401E-1,1.194050344E0
3.715638150E-1,-1.158694267E0,5.443376303E-2,4.481454492E-1,1.243531175E0
3.765801170E-1,-1.204956055E0,4.077051878E-1,1.767015755E-1,1.284276474E0
3.815964190E-1,-4.359846115E-1,4.367440939E-1,-1.328452229E-1,6.312494264E-1
3.866127210E-1,-5.759143829E-2,2.850602269E-1,-2.067014575E-1,3.567934967E-1
3.916290230E-1,5.831718445E-2,9.615504742E-2,-1.376639605E-1,1.777584123E-1
3.966453250E-1,9.954738617E-2,-3.066861629E-2,-7.500916719E-2,1.283612920E-1
4.016616270E-1,1.332130432E-1,-7.754746079E-2,-1.592630148E-2,1.549611907E-1
4.066779290E-1,1.381483078E-1,-9.519848228E-2,-2.892190218E-2,1.702474153E-1
4.116942310E-1,1.075992584E-1,-1.005737484E-1,-3.949522972E-2,1.524878764E-1
4.167104810E-1,2.069091797E-2,-8.669826388E-2,-3.544723988E-2,9.592293710E-2
4.217267830E-1,-7.936286926E-2,-9.424716234E-2,-5.959182978E-2,1.368655501E-1
4.267430850E-1,-1.427288055E-1,-8.975467086E-2,-5.756139755E-2,1.781592753E-1
4.317593870E-1,-1.982584000E-1,-6.633597612E-2,-7.456660271E-2,2.219617830E-1
4.367756900E-1,-2.389535904E-1,-5.267065763E-2,-9.158974886E-2,2.612693986E-1
4.417919920E-1,-2.768468857E-1,-2.983224392E-2,-1.440470815E-1,3.135023486E-1
4.468082940E-1,-3.119525909E-1,9.191811085E-3,-1.822096705E-1,3.613852133E-1
4.518245960E-1,-3.632583618E-1,2.635729313E-2,-1.942413449E-1,4.127723881E-1
4.568408460E-1,-3.335189819E-1,4.096549749E-2,-1.616762877E-1,3.728971779E-1
4.618571480E-1,-3.775186539E-1,7.762849331E-3,-1.515086889E-1,4.068605150E-1
4.668734500E-1,-4.423885345E-1,3.071725368E-3,-1.205130219E-1,4.585198354E-1
4.718897520E-1,-4.853181839E-1,-2.801847458E-2,-8.044749498E-2,4.927378349E-1
4.769060540E-1,-4.260129929E-1,-6.623500586E-2,-4.576247931E-2,4.335531693E-1
4.819223560E-1,-3.911008835E-1,-8.298856020E-2,9.963691235E-3,3.999328410E-1
4.869386580E-1,-3.661088943E-1,-9.767085314E-2,6.984537840E-2,3.852968920E-1
4.919549600E-1,-3.153953552E-1,-1.196613908E-1,1.316345334E-1,3.621059637E-1
4.969712620E-1,-1.965227127E-1,-1.583378911E-1,1.971712708E-1,3.202632892E-1
5.019875120E-1,-9.783267975E-2,-1.823018789E-1,2.525267601E-1,3.264582253E-1
5.070038150E-1,9.387969971E-3,-1.819258928E-1,2.712902725E-1,3.267775641E-1
5.120201170E-1,1.037273407E-1,-1.527237594E-1,2.991431057E-1,3.515259672E-1
5.170364190E-1,1.165723801E-1,-1.352149248E-1,2.936510444E-1,3.436613617E-1
5.220527210E-1,1.103954315E-1,-8.153891563E-2,2.383504510E-1,2.750394218E-1
5.270690230E-1,1.090784073E-1,3.162765503E-2,1.812891960E-1,2.139256415E-1
5.320853250E-1,8.408832550E-2,1.632924676E-1,1.014636159E-1,2.098336051E-1
5.371016270E-1,1.668262482E-2,2.987583280E-1,2.949666977E-2,3.006740794E-1
5.421178770E-1,-6.666088104E-2,3.858013749E-1,1.260393858E-2,3.917208613E-1
5.471341790E-1,-1.681852341E-1,4.436184764E-1,3.588026762E-2,4.757846353E-1
5.521504810E-1,-2.070503235E-1,4.939339161E-1,8.415377140E-2,5.421461124E-1
5.571667830E-1,-2.881622314E-1,4.848003387E-1,1.234585643E-1,5.773308039E-1
5.621830850E-1,-3.684396744E-1,4.452519417E-1,1.441864967E-1,5.956398501E-1
5.671993870E-1,-4.526453018E-1,4.181960821E-1,1.274594069E-1,6.293024970E-1
5.722156900E-1,-5.336580276E-1,3.560261726E-1,7.377278805E-2,6.457460417E-1
5.772319920E-1,-6.281423569E-1,3.372353911E-1,4.282581806E-2,7.142300611E-1
5.822482940E-1,-7.099180222E-1,2.947205305E-1,-3.507435322E-3,7.686716408E-1
5.872645960E-1,-7.624969482E-1,2.446922660E-1,-6.587815285E-2,8.035022291E-1
5.922808460E-1,-7.600536346E-1,1.795092821E-1,-1.731809378E-1,7.999354643E-1
5.972971480E-1,-6.745424271E-1,6.824541092E-2,-2.904350758E-1,7.375753895E-1
6.023134500E-1,-5.114612579E-1,-3.901207447E-2,-4.597838521E-1,6.888510369E-1
6.073297520E-1,-3.070564270E-1,-1.656607389E-1,-7.137120962E-1,7.944256328E-1
6.123460540E-1,-9.021472931E-2,-2.470703721E-1,-1.021094322E0,1.054426897E0
6.173623560E-1,1.128282547E-1,-2.998110354E-1,-1.299249887E0,1.338158116E0
6.223786580E-1,2.451562881E-1,-2.952324748E-1,-1.446700096E0,1.496731435E0
6.273949600E-1,3.809871674E-1,-2.760751843E-1,-1.473556280E0,1.546847387E0
6.324112100E-1,4.514007568E-1,-2.472016811E-1,-1.408101797E0,1.499207119E0
6.374275120E-1,4.759387970E-1,-2.204939723E-1,-1.181947231E0,1.293110431E0
6.424438150E-1,4.455118179E-1,-2.364287376E-1,-9.824171662E-1,1.104320070E0
6.474601170E-1,3.511304855E-1,-2.874657512E-1,-7.935453653E-1,9.141353416E-1
6.524764190E-1,2.646055222E-1,-3.519422412E-1,-6.045089960E-1,7.478706772E-1
6.574927210E-1,1.360940933E-1,-4.272224009E-1,-4.713109136E-1,6.505186848E-1
6.625090230E-1,-2.689647675E-2,-4.894792736E-1,-3.372716904E-1,5.950340938E-1
6.675253250E-1,-2.026777267E-1,-5.318944454E-1,-1.630971730E-1,5.921069581E-1
6.725416270E-1,-4.220361710E-1,-5.834970474E-1,-1.091250777E-2,7.202099810E-1
6.775578770E-1,-5.777873993E-1,-6.207030416E-1,4.324376583E-2,8.491057460E-1
6.825741790E-1,-6.633358002E-1,-5.887796879E-1,1.719388366E-2,8.871141608E-1
6.875904810E-1,-6.247148514E-1,-4.672157466E-1,-3.557699919E-2,7.809128775E-1
6.926067830E-1,-5.698738098E-1,-2.997725606E-1,-6.865608692E-2,6.475595768E-1
6.976230850E-1,-4.704437256E-1,-1.483746767E-1,-1.248060167E-1,5.088309006E-1
7.026393870E-1,-3.292016983E-1,-3.558933735E-3,-2.319625318E-1,4.027319708E-1
7.076556900E-1,-1.630935669E-1,1.397227049E-1,-3.564832211E-1,4.161757234E-1
7.126719920E-1,5.378818512E-2,3.243697286E-1,-4.574535191E-1,5.633583334E-1
7.176882940E-1,2.331943512E-1,4.716997147E-1,-4.903624058E-1,7.192603946E-1
7.227045960E-1,3.041973114E-1,5.794286132E-1,-4.369683266E-1,7.869020527E-1
7.277208460E-1,2.652788162E-1,5.878452063E-1,-3.578427434E-1,7.375542460E-1
7.327371480E-1,1.767024994E-1,5.213220119E-1,-2.203861177E-1,5.929337689E-1
7.377534500E-1,6.735324860E-2,4.467446208E-1,-6.563767791E-2,4.565364400E-1
7.427697520E-1,-3.410911560E-2,3.761814237E-1,1.087231636E-1,3.930605826E-1
7.477860540E-1,-1.111373901E-1,2.669702172E-1,2.672620118E-1,3.937684590E-1
7.528023560E-1,-1.069488525E-1,1.884351969E-1,3.673359156E-1,4.264757383E-1
