"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.726320400E-1,-1.091889478E-2,2.519744914E-3,-8.399150101E-4,1.123729660E-2
2.751399560E-1,-1.030804776E-2,1.298050396E-3,3.817795368E-4,1.039646762E-2
2.776478730E-1,-1.030804776E-2,7.635590737E-5,-2.290677221E-4,1.031087537E-2
2.801557900E-1,-9.697199799E-3,4.963133950E-3,-1.450762269E-3,1.098968124E-2
2.826637060E-1,-9.086352773E-3,6.872031372E-4,-2.061609412E-3,9.342606073E-3
2.851716230E-1,-9.086352773E-3,1.298050396E-3,-1.450762269E-3,9.292548235E-3
2.876795400E-1,-1.030804776E-2,1.298050396E-3,2.214321401E-3,1.062280578E-2
2.901875090E-1,-1.030804776E-2,4.352286924E-3,2.825168660E-3,1.154035649E-2
2.926953730E-1,-8.475505747E-3,-1.756185899E-3,1.603474026E-3,8.802812933E-3
2.952033420E-1,-7.253811229E-3,1.298050396E-3,2.214321401E-3,7.694539066E-3
2.977112060E-1,-9.086352773E-3,6.184828468E-3,1.603474026E-3,1.110788183E-2
3.002191750E-1,-9.086352773E-3,2.519744914E-3,-2.290677221E-4,9.432040774E-3
3.027270920E-1,-9.086352773E-3,1.298050396E-3,-8.399150101E-4,9.216951707E-3
3.052350090E-1,-9.697199799E-3,1.908897655E-3,3.817795368E-4,9.890668826E-3
3.077429250E-1,-9.086352773E-3,1.298050396E-3,9.926267667E-4,9.232120528E-3
3.102508420E-1,-7.864658721E-3,6.872031372E-4,9.926267667E-4,7.956784077E-3
3.127587590E-1,-7.253811229E-3,6.184828468E-3,-2.061609412E-3,9.752954111E-3
3.152666750E-1,-6.642963737E-3,3.130592173E-3,-2.061609412E-3,7.627568940E-3
3.177745920E-1,-6.032116711E-3,-1.756185899E-3,-2.061609412E-3,6.612174702E-3
3.202825090E-1,-6.642963737E-3,4.352286924E-3,3.817795368E-4,7.950919714E-3
3.227904250E-1,-6.642963737E-3,3.130592173E-3,9.926267667E-4,7.410457642E-3
3.252983420E-1,-6.642963737E-3,-1.756185899E-3,1.603474026E-3,7.055797976E-3
3.278062590E-1,-5.421269219E-3,3.130592173E-3,-2.290677221E-4,6.264442459E-3
3.303141750E-1,-4.199574701E-3,1.298050396E-3,2.214321401E-3,4.921847394E-3
3.328220920E-1,-3.588727675E-3,6.872031372E-4,3.817795368E-4,3.673822273E-3
3.353300090E-1,-2.977880416E-3,6.795675959E-3,-1.450762269E-3,7.560006262E-3
3.378379250E-1,-2.367033157E-3,-1.145338640E-3,2.214321401E-3,3.437712297E-3
3.403458420E-1,-3.588727675E-3,6.872031372E-4,-2.290677221E-4,3.661104547E-3
3.428537590E-1,-1.756185899E-3,3.741439432E-3,2.214321401E-3,4.688899359E-3
3.453616750E-1,-5.344913807E-4,7.635590737E-5,3.817795368E-4,6.612615786E-4
3.478695920E-1,7.635590737E-5,6.872031372E-4,-3.283303929E-3,3.355318624E-3
3.503775610E-1,2.519744914E-3,6.184828468E-3,-2.290677221E-4,6.682341628E-3
3.528854770E-1,1.298050396E-3,7.635590737E-5,-2.290677221E-4,1.320317036E-3
3.553933940E-1,7.635590737E-5,1.298050396E-3,-3.283303929E-3,3.531409032E-3
3.579013110E-1,2.519744914E-3,1.298050396E-3,-2.290677221E-4,2.843680939E-3
3.604092270E-1,1.908897655E-3,6.872031372E-4,9.926267667E-4,2.258638153E-3
3.629171440E-1,1.298050396E-3,6.872031372E-4,-1.450762269E-3,2.064435551E-3
3.654250610E-1,3.130592173E-3,2.519744914E-3,-8.399150101E-4,4.105505938E-3
3.679329770E-1,3.741439432E-3,4.963133950E-3,3.817795368E-4,6.227103921E-3
3.704408940E-1,3.130592173E-3,1.908897655E-3,2.825168660E-3,4.628830907E-3
3.729488110E-1,4.963133950E-3,2.519744914E-3,2.825168660E-3,6.242066244E-3
3.754567270E-1,6.795675959E-3,7.635590737E-5,2.214321401E-3,7.147745186E-3
3.779646440E-1,4.963133950E-3,1.298050396E-3,-1.450762269E-3,5.331261070E-3
3.804725610E-1,6.184828468E-3,1.298050396E-3,-2.061609412E-3,6.647350703E-3
3.829804770E-1,6.184828468E-3,-5.344913807E-4,3.817795368E-4,6.219609298E-3
3.854883940E-1,9.239064530E-3,-1.145338640E-3,-2.061609412E-3,9.535321041E-3
3.879963110E-1,6.795675959E-3,-1.756185899E-3,-8.399150101E-4,7.069006852E-3
3.905042270E-1,-1.145338640E-3,-1.756185899E-3,2.214321401E-3,3.049460407E-3
3.930121440E-1,-2.130329795E-2,-1.145338640E-3,-2.061609412E-3,2.143344437E-2
3.955201130E-1,-6.039752439E-2,3.741439432E-3,-2.290677221E-4,6.051373227E-2
3.980280290E-1,-9.521581978E-2,9.239064530E-3,5.268557463E-3,9.580798686E-2
4.005359460E-1,-1.080436110E-1,3.741439432E-3,2.825168660E-3,1.081452812E-1
4.030438630E-1,-1.098761484E-1,-2.367033157E-3,-2.672456671E-3,1.099341296E-1
4.055517790E-1,-1.117086932E-1,-3.588727675E-3,-2.290677221E-4,1.117665584E-1
4.080596960E-1,-1.196497083E-1,3.130592173E-3,5.268557463E-3,1.198065566E-1
4.105676130E-1,-1.208714023E-1,4.352286924E-3,4.046862945E-3,1.210174178E-1
4.130755290E-1,-1.251473278E-1,4.352286924E-3,-1.450762269E-3,1.252313889E-1
4.155834460E-1,-1.336991936E-1,6.795675959E-3,1.603474026E-3,1.338813905E-1
4.180913630E-1,-1.410293579E-1,2.519744914E-3,3.436015919E-3,1.410937104E-1
4.205992790E-1,-1.501920670E-1,3.130592173E-3,9.926267667E-4,1.502279698E-1
4.231071960E-1,-1.624090075E-1,6.872031372E-4,1.603474026E-3,1.624183768E-1
4.256151130E-1,-1.752368063E-1,-2.977880416E-3,2.214321401E-3,1.752760944E-1
4.281230290E-1,-1.862320602E-1,1.298050396E-3,4.657710437E-3,1.862948186E-1
4.306309460E-1,-2.015032321E-1,6.795675959E-3,-2.290677221E-4,2.016179214E-1
4.331388630E-1,-2.234937400E-1,6.795675959E-3,-2.290677221E-4,2.235971500E-1
4.356468310E-1,-2.558686435E-1,7.406522986E-3,2.214321401E-3,2.559853952E-1
4.381547480E-1,-2.827459276E-1,1.107160654E-2,4.046862945E-3,2.829915496E-1
4.406626650E-1,-3.016822040E-1,3.130592173E-3,2.825168660E-3,3.017116743E-1
4.431705810E-1,-3.175642192E-1,2.519744914E-3,6.490251981E-3,3.176405293E-1
4.456784980E-1,-3.297811747E-1,1.298050396E-3,4.657710437E-3,3.298166193E-1
4.481864150E-1,-3.419981003E-1,3.741439432E-3,2.214321401E-3,3.420257332E-1
4.506943310E-1,-3.493282795E-1,1.168245357E-2,4.046862945E-3,3.495469978E-1
4.532022480E-1,-3.591018319E-1,1.473669056E-2,6.490251981E-3,3.594626811E-1
4.557101650E-1,-3.676536977E-1,6.795675959E-3,3.436015919E-3,3.677325507E-1
4.582180810E-1,-3.755947053E-1,5.573981442E-3,6.490251981E-3,3.756921284E-1
4.607259980E-1,-3.804814816E-1,3.741439432E-3,5.268557463E-3,3.805363503E-1
4.632339150E-1,-3.835357130E-1,2.519744914E-3,5.268557463E-3,3.835801741E-1
4.657418310E-1,-3.908658922E-1,4.963133950E-3,9.926267667E-4,3.908986616E-1
4.682497480E-1,-3.957526684E-1,8.017370477E-3,2.214321401E-3,3.958400636E-1
4.707576650E-1,-4.006394446E-1,1.046075951E-2,4.657710437E-3,4.008030518E-1
4.732656340E-1,-4.049153626E-1,8.017370477E-3,5.268557463E-3,4.050289950E-1
4.757735500E-1,-4.104129970E-1,5.573981442E-3,7.711946499E-3,4.105232898E-1
4.782814670E-1,-4.152997732E-1,4.963133950E-3,5.268557463E-3,4.153628438E-1
4.807893840E-1,-4.183540046E-1,5.573981442E-3,4.657710437E-3,4.184170607E-1
4.832973000E-1,-4.207974076E-1,3.741439432E-3,2.214321401E-3,4.208198663E-1
4.858052170E-1,-4.214082658E-1,4.963133950E-3,3.817795368E-4,4.214376644E-1
4.883131340E-1,-4.250733256E-1,8.628217503E-3,2.825168660E-3,4.251702716E-1
4.908210500E-1,-4.281275868E-1,6.184828468E-3,7.101099472E-3,4.282311389E-1
4.933289670E-1,-4.293492734E-1,7.406522986E-3,7.711946499E-3,4.294823970E-1
4.958368840E-1,-4.311818182E-1,5.573981442E-3,4.046862945E-3,4.312368337E-1
4.983448000E-1,-4.336251915E-1,1.298050396E-3,5.268557463E-3,4.336591395E-1
5.008527170E-1,-4.372902811E-1,9.239064530E-3,2.214321401E-3,4.373934767E-1
5.033606340E-1,-4.397336841E-1,6.184828468E-3,4.046862945E-3,4.397957959E-1
5.058685500E-1,-4.464530051E-1,4.352286924E-3,2.825168660E-3,4.464831573E-1
5.083764670E-1,-4.556156993E-1,9.239064530E-3,8.933641016E-3,4.557969237E-1
5.108843840E-1,-4.635567069E-1,6.184828468E-3,4.657710437E-3,4.636213616E-1
5.133923520E-1,-4.684434831E-1,3.130592173E-3,2.825168660E-3,4.684624628E-1
5.159002690E-1,-4.782170355E-1,1.046075951E-2,3.436015919E-3,4.783437747E-1
5.184081860E-1,-4.898231328E-1,8.017370477E-3,9.926267667E-4,4.898897477E-1
5.209161020E-1,-5.032618046E-1,1.168245357E-2,2.825168660E-3,5.034053091E-1
5.234240190E-1,-5.154787302E-1,1.290414855E-2,6.490251981E-3,5.156810659E-1
5.259319360E-1,-5.228089094E-1,1.298050396E-3,8.933641016E-3,5.228868431E-1
5.284398520E-1,-5.338041186E-1,4.963133950E-3,7.711946499E-3,5.338828934E-1
5.309477690E-1,-5.423560143E-1,7.406522986E-3,5.879404955E-3,5.424384483E-1
5.334556860E-1,-5.502970219E-1,8.628217503E-3,5.268557463E-3,5.503898765E-1
5.359636020E-1,-5.582380295E-1,8.017370477E-3,7.101099472E-3,5.583407574E-1
5.384715190E-1,-5.680115819E-1,1.412584260E-2,4.046862945E-3,5.682016136E-1
5.409794360E-1,-5.765634775E-1,9.849912487E-3,7.101099472E-3,5.766913299E-1
5.434873520E-1,-5.887804031E-1,8.628217503E-3,7.101099472E-3,5.888864363E-1
5.459953210E-1,-5.973322392E-1,8.628217503E-3,5.879404955E-3,5.974234825E-1
5.485031860E-1,-6.058841348E-1,1.046075951E-2,6.490251981E-3,6.060091877E-1
5.510111540E-1,-6.138251424E-1,6.184828468E-3,5.268557463E-3,6.138789093E-1
5.535190710E-1,-6.211553216E-1,9.239064530E-3,7.101099472E-3,6.212646131E-1
5.560269880E-1,-6.260420680E-1,1.351499557E-2,5.879404955E-3,6.262155327E-1
5.585349040E-1,-6.339830756E-1,1.534753758E-2,9.544488043E-3,6.342406360E-1
5.610428210E-1,-6.400915980E-1,1.229330152E-2,9.544488043E-3,6.402807793E-1
