"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.700507880E-1,-4.311054647E-1,6.337540224E-3,3.054236295E-4,4.311521534E-1
2.725587040E-1,-4.311054647E-1,5.726693198E-3,8.857285604E-3,4.312344701E-1
2.750665690E-1,-4.341596961E-1,7.559234742E-3,1.374406368E-2,4.344429572E-1
2.775744850E-1,-4.366030693E-1,1.122431830E-2,1.252236869E-2,4.369268076E-1
2.800824020E-1,-4.353813827E-1,2.061609412E-3,5.803049076E-3,4.354249350E-1
2.825903190E-1,-4.323271513E-1,6.337540224E-3,3.970507067E-3,4.323918305E-1
2.850981830E-1,-4.329380095E-1,3.283303929E-3,3.970507067E-3,4.329686652E-1
2.876061000E-1,-4.372139275E-1,7.559234742E-3,7.024743594E-3,4.373356920E-1
2.901140170E-1,-4.372139275E-1,4.504998680E-3,6.413896102E-3,4.372841770E-1
2.926218810E-1,-4.347705245E-1,3.283303929E-3,7.024743594E-3,4.348396671E-1
2.951297980E-1,-4.390464723E-1,9.391776286E-3,7.635590620E-3,4.392132882E-1
2.976377150E-1,-4.414898455E-1,8.780929260E-3,2.137965523E-3,4.415823358E-1
3.001456310E-1,-4.427115619E-1,7.559234742E-3,2.137965523E-3,4.427812552E-1
3.026535480E-1,-4.433223903E-1,3.283303929E-3,9.162708884E-4,4.433354953E-1
3.051614130E-1,-4.500417113E-1,7.559234742E-3,6.413896102E-3,4.501508881E-1
3.076693290E-1,-4.518742561E-1,6.337540224E-3,7.024743594E-3,4.519732899E-1
3.101772460E-1,-4.537068009E-1,5.726693198E-3,1.068982668E-2,4.538688452E-1
3.126851100E-1,-4.555393457E-1,1.183516532E-2,1.007897966E-2,4.558045113E-1
3.151930270E-1,-4.598152637E-1,9.391776286E-3,7.024743594E-3,4.599648131E-1
3.177009440E-1,-4.592044353E-1,1.122431830E-2,5.803049076E-3,4.593782474E-1
3.202088600E-1,-4.622586668E-1,8.170082234E-3,3.359660041E-3,4.623430680E-1
3.227167250E-1,-4.659237564E-1,7.559234742E-3,7.024743594E-3,4.660380197E-1
3.252246420E-1,-4.683671296E-1,3.894151188E-3,5.803049076E-3,4.684192650E-1
3.277325580E-1,-4.720322192E-1,5.726693198E-3,7.024743594E-3,4.721192201E-1
3.302404750E-1,-4.750864506E-1,7.559234742E-3,5.192201585E-3,4.751749536E-1
3.327483400E-1,-4.787515402E-1,1.183516532E-2,5.192201585E-3,4.789259518E-1
3.352562560E-1,-4.811949134E-1,8.170082234E-3,4.581354558E-3,4.812860726E-1
3.377641730E-1,-4.842491746E-1,4.504998680E-3,5.192201585E-3,4.842979631E-1
3.402720900E-1,-4.873034060E-1,7.559234742E-3,8.246437646E-3,4.874317955E-1
3.427799540E-1,-4.903576374E-1,5.726693198E-3,7.024743594E-3,4.904413875E-1
3.452878710E-1,-4.928010404E-1,5.115845706E-3,4.581354558E-3,4.928488877E-1
3.477957880E-1,-4.964661002E-1,8.780929260E-3,6.413896102E-3,4.965851704E-1
3.503037040E-1,-4.976878166E-1,1.061347127E-2,3.359660041E-3,4.978123099E-1
3.528115690E-1,-5.001311898E-1,9.391776286E-3,3.359660041E-3,5.002306466E-1
3.553194850E-1,-5.037962794E-1,9.391776286E-3,3.970507067E-3,5.038994558E-1
3.578274020E-1,-5.062396526E-1,5.115845706E-3,5.803049076E-3,5.062987588E-1
3.603353190E-1,-5.074613690E-1,3.894151188E-3,5.192201585E-3,5.075028714E-1
3.628431830E-1,-5.099047422E-1,1.061347127E-2,5.803049076E-3,5.100482010E-1
3.653511000E-1,-5.135698318E-1,8.780929260E-3,5.192201585E-3,5.136711359E-1
3.678590170E-1,-5.154023767E-1,7.559234742E-3,6.413896102E-3,5.154977109E-1
3.703669330E-1,-5.184566379E-1,6.948387716E-3,5.803049076E-3,5.185356698E-1
3.728747980E-1,-5.172349215E-1,6.948387716E-3,7.024743594E-3,5.173292869E-1
3.753827150E-1,-5.215108395E-1,4.504998680E-3,6.413896102E-3,5.215697353E-1
3.778906310E-1,-5.239542127E-1,5.726693198E-3,7.024743594E-3,5.240325935E-1
3.803985480E-1,-5.263976455E-1,7.559234742E-3,4.581354558E-3,5.264718530E-1
3.829064130E-1,-5.294518471E-1,1.122431830E-2,5.192201585E-3,5.295962638E-1
3.854143290E-1,-5.306735635E-1,8.780929260E-3,4.581354558E-3,5.307659790E-1
3.879222460E-1,-5.331169367E-1,1.183516532E-2,7.024743594E-3,5.332945587E-1
3.904301630E-1,-5.361711979E-1,6.948387716E-3,6.413896102E-3,5.362545772E-1
3.929380270E-1,-5.392253995E-1,6.948387716E-3,5.192201585E-3,5.392951608E-1
3.954459440E-1,-5.410579443E-1,5.726693198E-3,5.192201585E-3,5.411131610E-1
3.979538600E-1,-5.447230339E-1,9.391776286E-3,5.192201585E-3,5.448287328E-1
4.004617770E-1,-5.465555787E-1,6.337540224E-3,6.413896102E-3,5.466299508E-1
4.029696940E-1,-5.489989519E-1,9.391776286E-3,7.635590620E-3,5.491323674E-1
4.054775580E-1,-5.636593103E-1,5.726693198E-3,8.857285604E-3,5.637579841E-1
4.079854750E-1,-6.351284385E-1,8.399150101E-4,3.359660041E-3,6.351378796E-1
4.104933920E-1,-7.023216486E-1,-2.825168660E-3,2.596100792E-2,7.028069818E-1
4.130012560E-1,-7.334748507E-1,1.000262424E-2,1.679829881E-2,7.337353691E-1
4.155091730E-1,-8.397622705E-1,-1.748550311E-2,9.162708884E-4,8.399447918E-1
4.180170900E-1,-9.539906979E-1,1.672194339E-2,1.557660475E-2,9.542643793E-1
4.205250060E-1,-1.024238110E0,3.504735976E-2,7.635590620E-3,1.024866003E0
4.230328710E-1,-1.107924223E0,3.283303929E-3,1.191152167E-2,1.107993117E0
4.255407880E-1,-1.239867210E0,-1.603474026E-3,1.130067464E-2,1.239919746E0
4.280487040E-1,-1.384638071E0,2.710634656E-2,2.290677279E-2,1.385092799E0
4.305566210E-1,-1.491536260E0,1.366770733E-2,2.840439789E-2,1.491869307E0
4.330645380E-1,-1.577665806E0,2.588465251E-2,9.468132630E-3,1.577906542E0
4.355724020E-1,-1.701056957E0,2.649549954E-2,7.635590620E-3,1.701280425E0
4.380803190E-1,-1.825135231E0,4.482091591E-2,2.046338283E-2,1.825800174E0
4.405882350E-1,-1.939974546E0,3.749075159E-2,1.557660475E-2,1.940399296E0
4.430961520E-1,-2.051148653E0,1.000262424E-2,2.779355086E-2,2.051361336E0
4.456040170E-1,-2.173318148E0,1.794363745E-2,2.535016090E-2,2.173540056E0
4.481119330E-1,-2.302817822E0,3.077143058E-2,2.901524492E-2,2.303206175E0
4.506198500E-1,-2.422543764E0,3.016058356E-2,3.145863488E-2,2.422935739E0
4.531277670E-1,-2.534939766E0,3.016058356E-2,2.229592577E-2,2.535217227E0
4.556356310E-1,-2.660163403E0,4.176668078E-2,3.084778599E-2,2.660670098E0
4.581435480E-1,-2.789663076E0,4.421006888E-2,4.184303805E-2,2.790327122E0
4.606514650E-1,-2.915497541E0,3.565821052E-2,3.756710514E-2,2.915957597E0
4.631593810E-1,-3.035223722E0,3.138227761E-2,3.695625812E-2,3.035610920E0
4.656672460E-1,-3.162890673E0,3.749075159E-2,2.962609194E-2,3.163251598E0
4.681751630E-1,-3.295444489E0,4.726430774E-2,3.023693897E-2,3.295922111E0
4.706830790E-1,-3.423111677E0,5.031854287E-2,3.329117596E-2,3.423643354E0
4.731909960E-1,-3.545281172E0,4.970769584E-2,3.878879920E-2,3.545841792E0
4.756988600E-1,-3.668061495E0,5.215108395E-2,4.245388508E-2,3.668677854E0
4.782067770E-1,-3.789619923E0,5.459447205E-2,4.978405312E-2,3.790340112E0
4.807146940E-1,-3.907513618E0,5.031854287E-2,4.734066129E-2,3.908124329E0
4.832226100E-1,-4.026628971E0,4.848600179E-2,4.611896724E-2,4.027184963E0
4.857304750E-1,-4.153685093E0,5.459447205E-2,4.856235534E-2,4.154327709E0
4.882383920E-1,-4.275854588E0,5.520532280E-2,4.795150831E-2,4.276479794E0
4.907463080E-1,-4.398024082E0,5.887040496E-2,5.161659420E-2,4.398720931E0
4.932542250E-1,-4.515993595E0,6.497887522E-2,5.589252338E-2,4.516806879E0
